0.62;0.34
0.62;0.34
6.07;3.16
11.53;5.72
16.98;8.03
22.44;10.12
27.89;12.01
33.35;13.72
38.80;15.27
44.26;16.67
49.71;17.94
55.17;19.09
60.62;20.13
66.07;21.07
71.53;21.92
76.98;22.69
82.44;23.38
87.89;24.01
93.35;24.58
98.80;25.10
104.26;25.56
109.71;25.99
115.17;26.37
120.62;26.71
126.07;27.03
131.53;27.31
136.98;27.57
142.44;27.80
147.89;28.01
153.35;28.20
158.80;28.37
164.26;28.52
169.71;28.66
175.17;28.79
180.62;28.91
186.07;29.01
191.53;29.10
196.98;29.19
202.44;29.27
207.89;29.34
213.35;29.40
218.80;29.46
224.26;29.51
229.71;29.56
235.17;29.60
240.62;29.64
246.07;29.67
251.53;29.70
256.98;29.73
262.44;29.76
267.89;29.78
